GeneSym	UniprotACC	GeneID
RASGRP3	Q8IV61	25780
SLC22A9	Q8IVM8	114571
BRSK2	Q8IWQ3	9024
CCAR1	Q8IX12	55749
DNAJC10	Q8IXB1	54431
SIRT2	Q8IXJ6	22933
SLX4	Q8IY92	84464
SUPV3L1	Q8IYB8	6832
XRN1	Q8IZH2	54464
MYOCD	Q8IZQ8	93649
TAF1L	Q8IZX4	138474
ABCA7	Q8IZY2	10347
RPTOR	Q8N122	57521
COMMD1	Q8N668	150684
SIRT6	Q8N6T7	51548
ENDOV	Q8N8Q3	284131
KDM1B	Q8NB78	221656
PCSK9	Q8NBP7	255738
MINDY2	Q8NBR6	54629
CPEB3	Q8NE35	22849
TRPV1	Q8NER1	7442
MYO3A	Q8NEV4	53904
SLC24A4	Q8NFF2	123041
NUDT10	Q8NFP7	170685
FBXO18	Q8NFZ0	84893
SLC26A10	Q8NG04	65012
LILRB1	Q8NHL6	10859
CTCFL	Q8NI51	140690
KIF18A	Q8NI77	81930
NEIL3	Q8TAT5	55247
PIFO	Q8TCI5	128344
PNPT1	Q8TCS8	87178
PREX1	Q8TCU6	57580
MRAP	Q8TCY5	56246
BRSK1	Q8TDC3	84446
CSGALNACT1	Q8TDX6	55790
MICAL1	Q8TDZ2	64780
SLC26A7	Q8TE54	115111
EPS8L1	Q8TE68	54869
GEMIN5	Q8TEQ6	25929
USP33	Q8TEY7	23032
SCARB1	Q8WTV0	949
FRS2	Q8WU20	10818
HDAC7	Q8WUI4	51564
CANT1	Q8WVQ1	124583
ZFPM2	Q8WW38	23414
STAB2	Q8WWQ8	55576
DGCR8	Q8WYQ5	54487
TTN	Q8WZ42	7273
TFAP2B	Q92481	7021
DDX1	Q92499	1653
TRIB2	Q92519	28951
IP6K1	Q92551	9807
MYO18A	Q92614	399687
ZNF516	Q92618	9658
DYRK2	Q92630	8445
ESR2	Q92731	2100
RYR2	Q92736	6262
TFAP2C	Q92754	7022
GTF2H4	Q92759	2968
HDAC2	Q92769	3066
PROX1	Q92786	5629
CREBBP	Q92793	1387
KAT6A	Q92794	7994
DLG3	Q92796	1741
KAT2A	Q92830	2648
KAT2B	Q92831	8850
DDX17	Q92841	10521
CASP10	Q92851	843
RAD50	Q92878	10111
NEUROG1	Q92886	4762
ERCC4	Q92889	2072
COPS5	Q92905	10987
GATA6	Q92908	2627
FOXJ1	Q92949	2302
ARHGEF2	Q92974	9181
